metric,value
test_accuracy,0.7446300715990454
test_precision,0.7846715328467153
test_recall,0.8174904942965779
test_f1,0.8007448789571695
test_auc,0.773739884956615
final_train_accuracy,0.6126344799995422
final_validation_accuracy,0.4504021406173706
final_train_loss,0.7064679861068726
final_validation_loss,0.7512341141700745
accuracy_gap,0.16223233938217163
loss_gap,0.044766128063201904
