accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.4880249798297882,0.4842906892299652,0.7585189342498779,0.4789436161518097,0.47387006878852844,0.459785521030426,0.6489050984382629,0.6963858604431152,0.0,0.0,9.999999747378752e-05
0.4949670135974884,0.4877280294895172,0.7329619526863098,0.48706039786338806,0.5183615684509277,0.45710456371307373,0.6544068455696106,0.692326545715332,0.25,0.002481389557942748,9.999999747378752e-05
0.5182228684425354,0.5270063281059265,0.7137126922607422,0.5091027021408081,0.5529661178588867,0.459785521030426,0.6545406579971313,0.69602370262146,0.0,0.0,9.999999747378752e-05
0.49704962968826294,0.49698784947395325,0.7179301381111145,0.4889926612377167,0.5176553726196289,0.459785521030426,0.6522617936134338,0.7000804543495178,0.0,0.0,9.999999747378752e-05
0.5078098177909851,0.5109740495681763,0.7084783315658569,0.49920886754989624,0.44562146067619324,0.459785521030426,0.6458196640014648,0.6938551664352417,0.0,0.0,4.999999873689376e-05
0.49947935342788696,0.49789994955062866,0.7098114490509033,0.4909847378730774,0.5,0.459785521030426,0.6662386655807495,0.6977481245994568,0.0,0.0,4.999999873689376e-05
0.4977438449859619,0.5034182667732239,0.7061225771903992,0.4884929358959198,0.4646892547607422,0.459785521030426,0.6700077652931213,0.6925340890884399,0.0,0.0,2.499999936844688e-05
0.5102394819259644,0.513359546661377,0.7031190395355225,0.5016436576843262,0.5388417840003967,0.459785521030426,0.6674431562423706,0.6946408748626709,0.0,0.0,2.499999936844688e-05
0.50260329246521,0.5084263682365417,0.7037595510482788,0.49362340569496155,0.4646892547607422,0.459785521030426,0.660219669342041,0.694197416305542,0.0,0.0,1.249999968422344e-05
0.50260329246521,0.5146796107292175,0.7010279297828674,0.49368029832839966,0.4689265489578247,0.459785521030426,0.6543959379196167,0.6949957013130188,0.0,0.0,1.249999968422344e-05
0.5126692056655884,0.504443347454071,0.7041339874267578,0.5045248866081238,0.472457617521286,0.459785521030426,0.6514190435409546,0.6957131624221802,0.0,0.0,6.24999984211172e-06
