accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate,stage,epoch
0.5397431254386902,0.5572554469108582,0.877108097076416,0.5310773253440857,0.5430790781974792,0.6327077746391296,0.6327182054519653,0.7182195782661438,0.6098807454109192,0.8883374929428101,9.999999747378752e-05,stage1,1
0.5855605602264404,0.6149463653564453,0.818219780921936,0.5779494643211365,0.5812146663665771,0.6447721123695374,0.657788872718811,0.7058797478675842,0.6223404407501221,0.8709677457809448,9.999999747378752e-05,stage1,2
0.6206178665161133,0.6612963080406189,0.7588991522789001,0.6093432903289795,0.6355932354927063,0.6608579158782959,0.6807182431221008,0.7034673094749451,0.6320422291755676,0.8908188343048096,9.999999747378752e-05,stage1,3
0.6150642037391663,0.6689924001693726,0.7415111064910889,0.6050650477409363,0.6242938041687012,0.6581769585609436,0.6654067039489746,0.6912218332290649,0.6335740089416504,0.8709677457809448,9.999999747378752e-05,stage1,4
0.6532453894615173,0.7086040377616882,0.6968941688537598,0.6423208117485046,0.6645480394363403,0.6581769585609436,0.6650015115737915,0.7044578790664673,0.6298245787620544,0.8908188343048096,4.999999873689376e-05,stage1,5
0.6452620625495911,0.7089204788208008,0.6933612823486328,0.6343792676925659,0.6567796468734741,0.6595174074172974,0.6667956709861755,0.7019293308258057,0.6309314370155334,0.8908188343048096,2.499999936844688e-05,stage1,6
0.6331135034561157,0.6878721714019775,0.7194578647613525,0.6225255727767944,0.6440678238868713,0.6313672661781311,0.6363064646720886,0.7375885248184204,0.6070234179496765,0.9007444381713867,9.999999747378752e-06,stage2,7
0.6726831197738647,0.7249489426612854,0.6801024675369263,0.6641221642494202,0.6758474707603455,0.6179624795913696,0.6315462589263916,0.7433217763900757,0.5960912108421326,0.9081885814666748,9.999999747378752e-06,stage2,8
0.6542866826057434,0.7153609991073608,0.6952983140945435,0.6442307829856873,0.6624293923377991,0.6260053515434265,0.642694354057312,0.7193923592567444,0.605802059173584,0.8808932900428772,4.999999873689376e-06,stage2,9
0.678236722946167,0.7402079701423645,0.6609234809875488,0.6680412292480469,0.6864407062530518,0.6487935781478882,0.633437991142273,0.7193001508712769,0.6284152865409851,0.8560793995857239,4.999999873689376e-06,stage2,10
0.676848292350769,0.7445720434188843,0.660015344619751,0.6644067764282227,0.6920903921127319,0.6420911550521851,0.6385924816131592,0.7124800682067871,0.6263940334320068,0.8362283110618591,2.499999936844688e-06,stage2,11
0.6744186282157898,0.7349838614463806,0.6777969598770142,0.6632513403892517,0.6857344508171082,0.6394101977348328,0.6399308443069458,0.7120286226272583,0.6240741014480591,0.8362283110618591,1.249999968422344e-06,stage2,12
0.6820548176765442,0.7472630739212036,0.654035210609436,0.6673359870910645,0.7040960192680359,0.6420911550521851,0.6401442289352417,0.7154459357261658,0.6245421171188354,0.8461538553237915,6.24999984211172e-07,stage2,13
