epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
1,0.5185699462890625,0.5322698950767517,0.843482494354248,0.5098572373390198,0.5296609997749329,0.459785521030426,0.5516172647476196,0.7031280994415283,0.0,0.0,9.999999747378752e-05
2,0.5484206676483154,0.5665555000305176,0.8077546954154968,0.5386684536933899,0.5656779408454895,0.459785521030426,0.5639084577560425,0.8814843893051147,0.0,0.0,9.999999747378752e-05
3,0.5314127206802368,0.5525413751602173,0.806106686592102,0.5219706892967224,0.5536723136901855,0.459785521030426,0.5529302954673767,1.095328688621521,0.0,0.0,9.999999747378752e-05
4,0.5522388219833374,0.5778087377548218,0.7821485996246338,0.5404884219169617,0.5939265489578247,0.459785521030426,0.5570176839828491,1.0537307262420654,0.0,0.0,9.999999747378752e-05
5,0.5931968092918396,0.6133180260658264,0.7457457780838013,0.5822102427482605,0.6101694703102112,0.459785521030426,0.572278618812561,1.860513687133789,0.0,0.0,4.999999873689376e-05
6,0.5782714486122131,0.6055766940116882,0.7547892332077026,0.5650485157966614,0.616525411605835,0.459785521030426,0.6320236921310425,1.867945909500122,0.0,0.0,4.999999873689376e-05
7,0.609510600566864,0.6395848393440247,0.7272065281867981,0.5986440777778625,0.6235875487327576,0.51474529504776,0.6322768330574036,1.64473557472229,0.8360655903816223,0.12655086815357208,4.999999873689376e-05
8,0.5914613008499146,0.6321927905082703,0.7237731218338013,0.5799331068992615,0.6122881174087524,0.5375335216522217,0.6365596055984497,1.0456598997116089,0.6666666865348816,0.28784120082855225,2.499999936844688e-05
9,0.6091634631156921,0.6468507051467896,0.7170669436454773,0.5981055498123169,0.6242938041687012,0.5576407313346863,0.6331883668899536,1.05096435546875,0.6607929468154907,0.37220844626426697,2.499999936844688e-05
10,0.608816385269165,0.6500069499015808,0.7155010104179382,0.6004169583320618,0.6101694703102112,0.5844504237174988,0.6114527583122253,1.0124855041503906,0.6620209217071533,0.47146400809288025,2.499999936844688e-05
11,0.6261714696884155,0.6659103035926819,0.698645293712616,0.6158578395843506,0.6362994313240051,0.569705069065094,0.6287718415260315,1.1007308959960938,0.6666666865348816,0.40694788098335266,1.249999968422344e-05
12,0.6372787356376648,0.6858031153678894,0.6797009706497192,0.6269678473472595,0.6468926668167114,0.5844504237174988,0.6215663552284241,1.0138225555419922,0.6703296899795532,0.4540942907333374,1.249999968422344e-05
13,0.6161054968833923,0.6644641160964966,0.7029066681861877,0.6040268540382385,0.6355932354927063,0.5965147614479065,0.6062475442886353,1.0353965759277344,0.6613923907279968,0.518610417842865,1.249999968422344e-05
14,0.6296424865722656,0.6789964437484741,0.6839978694915771,0.6159468293190002,0.6546609997749329,0.609919548034668,0.6181409358978271,1.0345721244812012,0.6696969866752625,0.5483871102333069,6.24999984211172e-06
15,0.6327664256095886,0.6843586564064026,0.6810534596443176,0.6206199526786804,0.6504237055778503,0.5991957187652588,0.6103277802467346,1.09165620803833,0.6595091819763184,0.5334987640380859,6.24999984211172e-06
