threshold,accuracy,precision,recall,f1
0.2,0.5777479892761395,0.5621468926553672,0.9875930521091811,0.7164716471647165
0.20500000000000002,0.579088471849866,0.562942008486563,0.9875930521091811,0.7171171171171171
0.21000000000000002,0.5804289544235925,0.5637393767705382,0.9875930521091811,0.7177637511271415
0.21500000000000002,0.5804289544235925,0.5637393767705382,0.9875930521091811,0.7177637511271415
0.22000000000000003,0.5844504021447721,0.5663338088445078,0.9851116625310173,0.7192028985507246
0.22500000000000003,0.5844504021447721,0.5663338088445078,0.9851116625310173,0.7192028985507246
0.23000000000000004,0.5831099195710456,0.5657142857142857,0.9826302729528535,0.7180417044424298
0.23500000000000004,0.5857908847184986,0.5673352435530086,0.9826302729528535,0.7193460490463215
0.24000000000000005,0.5884718498659517,0.5689655172413793,0.9826302729528535,0.7206551410373067
0.24500000000000005,0.5884718498659517,0.5689655172413793,0.9826302729528535,0.7206551410373067
0.25000000000000006,0.5871313672922251,0.5683453237410072,0.9801488833746899,0.7194899817850637
0.25500000000000006,0.5924932975871313,0.5718432510885341,0.9776674937965261,0.7216117216117216
0.26000000000000006,0.5924932975871313,0.5718432510885341,0.9776674937965261,0.7216117216117216
0.26500000000000007,0.5924932975871313,0.5720524017467249,0.9751861042183623,0.7211009174311926
0.2700000000000001,0.5911528150134048,0.5714285714285714,0.9727047146401985,0.7199265381083563
0.2750000000000001,0.5924932975871313,0.5722627737226277,0.9727047146401985,0.7205882352941176
0.2800000000000001,0.5924932975871313,0.5722627737226277,0.9727047146401985,0.7205882352941176
0.2850000000000001,0.5938337801608579,0.5730994152046783,0.9727047146401985,0.7212511499540019
0.2900000000000001,0.5951742627345844,0.5739385065885798,0.9727047146401985,0.7219152854511971
0.2950000000000001,0.5978552278820375,0.5756240822320118,0.9727047146401985,0.7232472324723247
0.3000000000000001,0.599195710455764,0.5764705882352941,0.9727047146401985,0.7239150507848569
0.3050000000000001,0.6032171581769437,0.5790251107828656,0.9727047146401985,0.725925925925926
0.3100000000000001,0.6045576407506702,0.5798816568047337,0.9727047146401985,0.726598702502317
0.3150000000000001,0.6045576407506702,0.5798816568047337,0.9727047146401985,0.726598702502317
0.3200000000000001,0.6099195710455764,0.5833333333333334,0.9727047146401985,0.7293023255813953
0.3250000000000001,0.6085790884718498,0.5827123695976155,0.9702233250620348,0.7281191806331471
0.3300000000000001,0.6085790884718498,0.5827123695976155,0.9702233250620348,0.7281191806331471
0.33500000000000013,0.6126005361930295,0.5853293413173652,0.9702233250620348,0.7301587301587301
0.34000000000000014,0.6152815013404825,0.5870870870870871,0.9702233250620348,0.7315247895229187
0.34500000000000014,0.6179624664879356,0.588855421686747,0.9702233250620348,0.7328959700093721
0.35000000000000014,0.6152815013404825,0.5876132930513596,0.9652605459057072,0.7305164319248826
0.35500000000000015,0.6193029490616622,0.590288315629742,0.9652605459057072,0.7325800376647834
0.36000000000000015,0.6179624664879356,0.5899390243902439,0.9602977667493796,0.7308781869688386
0.36500000000000016,0.6152815013404825,0.5886850152905199,0.9553349875930521,0.7284768211920529
0.37000000000000016,0.6166219839142091,0.5901386748844376,0.9503722084367245,0.7281368821292775
0.37500000000000017,0.6166219839142091,0.5904173106646059,0.9478908188585607,0.7276190476190476
0.38000000000000017,0.6166219839142091,0.5904173106646059,0.9478908188585607,0.7276190476190476
0.3850000000000002,0.6166219839142091,0.5904173106646059,0.9478908188585607,0.7276190476190476
0.3900000000000002,0.6152815013404825,0.5900621118012422,0.9429280397022333,0.725883476599809
0.3950000000000002,0.6166219839142091,0.5915492957746479,0.9379652605459057,0.72552783109405
0.4000000000000002,0.6193029490616622,0.5937007874015748,0.9354838709677419,0.7263969171483622
0.4050000000000002,0.6193029490616622,0.5937007874015748,0.9354838709677419,0.7263969171483622
0.4100000000000002,0.6193029490616622,0.5937007874015748,0.9354838709677419,0.7263969171483622
0.4150000000000002,0.6179624664879356,0.5942492012779552,0.9230769230769231,0.7230320699708455
0.4200000000000002,0.6193029490616622,0.5952,0.9230769230769231,0.7237354085603113
0.4250000000000002,0.6193029490616622,0.5952,0.9230769230769231,0.7237354085603113
0.4300000000000002,0.6166219839142091,0.593900481540931,0.9181141439205955,0.7212475633528265
0.4350000000000002,0.6166219839142091,0.593900481540931,0.9181141439205955,0.7212475633528265
0.4400000000000002,0.6193029490616622,0.5961227786752827,0.9156327543424317,0.7221135029354208
0.44500000000000023,0.6166219839142091,0.5951219512195122,0.9081885856079405,0.7190569744597249
0.45000000000000023,0.6179624664879356,0.5960912052117264,0.9081885856079405,0.7197640117994101
0.45500000000000024,0.6206434316353887,0.5986842105263158,0.9032258064516129,0.7200791295746786
0.46000000000000024,0.6193029490616622,0.5983471074380166,0.8982630272952854,0.7182539682539683
0.46500000000000025,0.6193029490616622,0.5990016638935108,0.8933002481389578,0.7171314741035857
0.47000000000000025,0.6193029490616622,0.5990016638935108,0.8933002481389578,0.7171314741035857
0.47500000000000026,0.6206434316353887,0.6006711409395973,0.8883374689826302,0.7167167167167167
0.48000000000000026,0.6206434316353887,0.6006711409395973,0.8883374689826302,0.7167167167167167
0.48500000000000026,0.6233243967828418,0.6026936026936027,0.8883374689826302,0.7181544633901705
0.49000000000000027,0.6233243967828418,0.6030405405405406,0.8858560794044665,0.7175879396984924
0.4950000000000003,0.6233243967828418,0.6033898305084746,0.8833746898263027,0.7170191339375629
0.5000000000000002,0.6260053619302949,0.60580204778157,0.8808933002481389,0.717896865520728
0.5050000000000003,0.628686327077748,0.6082474226804123,0.8784119106699751,0.7187817258883249
0.5100000000000002,0.6273458445040214,0.608318890814558,0.8709677419354839,0.7163265306122449
0.5150000000000003,0.6327077747989276,0.612565445026178,0.8709677419354839,0.7192622950819673
0.5200000000000002,0.6367292225201072,0.6174377224199288,0.8610421836228288,0.7191709844559585
0.5250000000000004,0.6380697050938338,0.6189624329159212,0.858560794044665,0.7193347193347194
0.5300000000000002,0.6394101876675603,0.6205035971223022,0.8560794044665012,0.7194994786235662
0.5350000000000004,0.6434316353887399,0.6238698010849909,0.8560794044665012,0.7217573221757322
0.5400000000000003,0.6434316353887399,0.6256880733944954,0.8461538461538461,0.7194092827004219
0.5450000000000004,0.6434316353887399,0.6266173752310537,0.8411910669975186,0.7182203389830508
0.5500000000000003,0.6434316353887399,0.6290018832391714,0.8287841191066998,0.715203426124197
0.5550000000000004,0.6407506702412868,0.6295585412667947,0.8138957816377171,0.70995670995671
0.5600000000000003,0.6407506702412868,0.630057803468208,0.8114143920595533,0.7093275488069414
0.5650000000000004,0.6420911528150134,0.6317829457364341,0.8089330024813896,0.7094668117519043
0.5700000000000003,0.6394101876675603,0.630859375,0.8014888337468983,0.7060109289617487
0.5750000000000004,0.6420911528150134,0.6338582677165354,0.7990074441687345,0.7069154774972558
